date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2019-01-03,5680.0,5700.0,5650.0,5650.0,25350,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-04,5680.0,5930.0,5650.0,5930.0,5080,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-07,5840.0,5840.0,5650.0,5650.0,63830,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-08,5650.0,5650.0,5590.0,5620.0,101910,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-09,5620.0,6010.0,5620.0,5680.0,11160,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-10,5680.0,5680.0,5570.0,5570.0,32410,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-11,5570.0,5680.0,5510.0,5680.0,40030,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-14,5760.0,5760.0,5760.0,5760.0,10,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-15,5510.0,5570.0,5510.0,5510.0,9280,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-16,5510.0,5570.0,5510.0,5540.0,1420,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-17,5820.0,5820.0,5820.0,5820.0,10,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-18,5570.0,5900.0,5570.0,5590.0,120,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-21,5570.0,5790.0,5570.0,5790.0,4450,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-22,5570.0,5620.0,5570.0,5570.0,14310,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-23,5620.0,5730.0,5620.0,5730.0,350,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-24,5680.0,5790.0,5680.0,5790.0,6500,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-25,5790.0,5790.0,5680.0,5680.0,7120,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-28,5790.0,5790.0,5680.0,5700.0,4540,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-29,5700.0,5730.0,5680.0,5730.0,5480,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-30,5730.0,5730.0,5700.0,5730.0,4770,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-01-31,5730.0,5730.0,5730.0,5730.0,700,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-01,5950.0,5950.0,5570.0,5950.0,10630,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-11,5950.0,5950.0,5950.0,5950.0,10,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-12,5950.0,6060.0,5790.0,6010.0,15760,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-13,6300.0,6300.0,6120.0,6300.0,2180,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-14,6300.0,6300.0,6070.0,6070.0,30470,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-15,6120.0,6330.0,6070.0,6180.0,86930,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-18,6240.0,6240.0,6070.0,6070.0,13150,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-19,6070.0,6070.0,6010.0,6070.0,33880,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-20,6070.0,6240.0,6010.0,6070.0,29560,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-21,6120.0,6150.0,6070.0,6120.0,27850,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-22,6120.0,6120.0,6070.0,6070.0,29800,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-25,6270.0,6270.0,6070.0,6070.0,22660,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-26,6070.0,6240.0,6070.0,6090.0,39030,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-27,6150.0,6150.0,6070.0,6120.0,13740,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-02-28,6120.0,6180.0,6070.0,6070.0,43960,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-01,6070.0,6070.0,6070.0,6070.0,37940,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-04,6070.0,6240.0,6070.0,6240.0,36140,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-05,6240.0,6240.0,6070.0,6240.0,14270,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-06,6090.0,6350.0,6090.0,6300.0,224810,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-07,6380.0,6380.0,6240.0,6300.0,80680,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-08,6470.0,6470.0,6300.0,6350.0,122000,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-11,6440.0,6790.0,6350.0,6730.0,452120,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-12,6760.0,7190.0,6760.0,7190.0,137130,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-13,7600.0,7680.0,7280.0,7450.0,209000,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-14,7220.0,7480.0,7110.0,7390.0,165540,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-15,7250.0,7480.0,7250.0,7480.0,42430,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-18,7800.0,7800.0,7340.0,7370.0,69670,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-19,7510.0,7570.0,7220.0,7220.0,78630,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-20,7080.0,7220.0,6930.0,6990.0,82430,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-21,7420.0,7420.0,7110.0,7160.0,84020,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-22,7220.0,7220.0,6760.0,6930.0,58090,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-25,6640.0,6820.0,6590.0,6640.0,107430,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-26,6640.0,6930.0,6640.0,6820.0,19240,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-27,6870.0,7220.0,6760.0,7050.0,33780,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-28,6930.0,7130.0,6760.0,6870.0,22130,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-03-29,6850.0,6870.0,6760.0,6850.0,28980,16990.0,1667.0,6.36,2.08,3.03,10.43,368161,128184,141030,322687,463718
2019-04-01,6790.0,6820.0,6760.0,6790.0,35350,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-02,6870.0,6870.0,6760.0,6850.0,15310,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-03,6820.0,6990.0,6820.0,6870.0,11390,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-04,6870.0,7220.0,6870.0,7160.0,43110,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-05,7510.0,7510.0,7020.0,7160.0,32990,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-08,7420.0,7420.0,7020.0,7050.0,13910,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-09,7160.0,7160.0,6990.0,6990.0,9650,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-10,6990.0,6990.0,6640.0,6930.0,26750,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-11,7020.0,7050.0,6930.0,7020.0,5450,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-12,7050.0,7050.0,7020.0,7050.0,4740,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-16,7050.0,7050.0,6870.0,6870.0,67950,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-17,6820.0,6990.0,6700.0,6820.0,16380,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-18,6760.0,6900.0,6640.0,6640.0,57260,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-19,6640.0,7110.0,6640.0,6760.0,10070,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-22,6760.0,6930.0,6640.0,6870.0,32700,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-23,6870.0,6870.0,6640.0,6640.0,20910,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-24,6990.0,7050.0,6700.0,6700.0,7880,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-25,6700.0,7050.0,6700.0,6870.0,44530,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-04-26,6700.0,6870.0,6670.0,6760.0,13160,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
